file,age,gender,race,phototype
1.jpg,50-59,Male,East Asian,III
10.jpg,30-39,Male,Middle Eastern,V
100.jpg,20-29,Female,East Asian,III
1000.jpg,30-39,Male,White,I & II
10004.jpg,40-49,Male,Indian,V
10005.jpg,20-29,Male,Southeast Asian,V
10006.jpg,20-29,Male,Latino_Hispanic,IV
10008.jpg,20-29,Female,Latino_Hispanic,IV
1001.jpg,40-49,Male,Black,VI
10010.jpg,20-29,Male,Black,VI
10013.jpg,20-29,Female,Middle Eastern,V
10015.jpg,30-39,Male,Indian,V
10016.jpg,50-59,Male,Latino_Hispanic,IV
10017.jpg,50-59,Male,Indian,V
10018.jpg,20-29,Female,White,I & II
10019.jpg,40-49,Male,Latino_Hispanic,IV
1002.jpg,30-39,Female,Black,VI
10021.jpg,20-29,Male,Black,VI
10024.jpg,30-39,Female,Latino_Hispanic,IV
10025.jpg,20-29,Female,Middle Eastern,V
10026.jpg,20-29,Male,East Asian,III
10029.jpg,20-29,Female,East Asian,III
1003.jpg,30-39,Female,Latino_Hispanic,IV
10030.jpg,50-59,Male,East Asian,III
10032.jpg,20-29,Female,Black,VI
10033.jpg,50-59,Male,Latino_Hispanic,IV
10034.jpg,30-39,Female,Black,VI
10036.jpg,20-29,Female,Latino_Hispanic,IV
10038.jpg,20-29,Female,Latino_Hispanic,IV
10039.jpg,40-49,Male,White,I & II
1004.jpg,40-49,Male,Latino_Hispanic,IV
10042.jpg,20-29,Male,Southeast Asian,V
10044.jpg,20-29,Female,Southeast Asian,V
10047.jpg,20-29,Female,Black,VI
10048.jpg,20-29,Female,Black,VI
1005.jpg,50-59,Male,East Asian,III
10050.jpg,20-29,Male,Black,VI
10051.jpg,20-29,Male,Southeast Asian,V
10053.jpg,30-39,Male,Black,VI
10054.jpg,30-39,Male,Middle Eastern,V
10055.jpg,30-39,Male,White,I & II
10056.jpg,30-39,Female,Black,VI
10057.jpg,40-49,Female,Indian,V
10058.jpg,20-29,Female,Southeast Asian,V
10059.jpg,40-49,Male,Latino_Hispanic,IV
1006.jpg,40-49,Female,Latino_Hispanic,IV
10061.jpg,20-29,Female,Middle Eastern,V
10062.jpg,20-29,Female,Latino_Hispanic,IV
10063.jpg,40-49,Female,Black,VI
10064.jpg,30-39,Male,Black,VI
10065.jpg,20-29,Female,White,I & II
10066.jpg,30-39,Female,White,I & II
10068.jpg,20-29,Female,Middle Eastern,V
10070.jpg,40-49,Male,White,I & II
10071.jpg,40-49,Female,Black,VI
10072.jpg,30-39,Female,White,I & II
10073.jpg,40-49,Male,White,I & II
10074.jpg,40-49,Male,Black,VI
10076.jpg,30-39,Female,Latino_Hispanic,IV
10077.jpg,20-29,Male,East Asian,III
1008.jpg,20-29,Female,Indian,V
10080.jpg,30-39,Female,Black,VI
10081.jpg,60-69,Male,Southeast Asian,V
10083.jpg,20-29,Male,White,I & II
10084.jpg,30-39,Male,White,I & II
10086.jpg,40-49,Male,White,I & II
10087.jpg,20-29,Male,Latino_Hispanic,IV
10088.jpg,40-49,Female,Latino_Hispanic,IV
10089.jpg,20-29,Female,White,I & II
10091.jpg,20-29,Male,Middle Eastern,V
10092.jpg,40-49,Female,White,I & II
10094.jpg,40-49,Female,Black,VI
10095.jpg,50-59,Male,East Asian,III
10096.jpg,50-59,Male,East Asian,III
10099.jpg,20-29,Male,East Asian,III
101.jpg,30-39,Male,Indian,V
